original_value,curated_ontology_term_id_link,onto_source,curated_ontology,curated_ontology_term_id
AUT,http://purl.obolibrary.org/obo/NCIT_C16312,NCIT,Austria,NCIT_C16312
BGD,http://purl.obolibrary.org/obo/NCIT_C16323,NCIT,Bangladesh,NCIT_C16323
BRN,http://purl.obolibrary.org/obo/NCIT_C16367,NCIT,Brunei Darussalam,NCIT_C16367
CMR,http://purl.obolibrary.org/obo/NCIT_C16379,NCIT,Cameroon,NCIT_C16379
CAN,http://purl.obolibrary.org/obo/NCIT_C16380,NCIT,Canada,NCIT_C16380
CHN,http://purl.obolibrary.org/obo/NCIT_C16428,NCIT,China,NCIT_C16428
DNK,http://purl.obolibrary.org/obo/NCIT_C16496,NCIT,Denmark,NCIT_C16496
SLV,http://purl.obolibrary.org/obo/NCIT_C16532,NCIT,El Salvador,NCIT_C16532
EST,http://purl.obolibrary.org/obo/NCIT_C16562,NCIT,Estonia,NCIT_C16562
ETH,http://purl.obolibrary.org/obo/NCIT_C16563,NCIT,Ethiopia,NCIT_C16563
FJI,http://purl.obolibrary.org/obo/NCIT_C16582,NCIT,Fiji,NCIT_C16582
FIN,http://purl.obolibrary.org/obo/NCIT_C16584,NCIT,Finland,NCIT_C16584
FRA,http://purl.obolibrary.org/obo/NCIT_C16592,NCIT,France,NCIT_C16592
DEU,http://purl.obolibrary.org/obo/NCIT_C16636,NCIT,Germany,NCIT_C16636
GHA,http://purl.obolibrary.org/obo/NCIT_C26330,NCIT,Ghana,NCIT_C26330
HUN,http://purl.obolibrary.org/obo/NCIT_C16699,NCIT,Hungary,NCIT_C16699
ISL,http://purl.obolibrary.org/obo/NCIT_C16704,NCIT,Iceland,NCIT_C16704
IND,http://purl.obolibrary.org/obo/NCIT_C16727,NCIT,India,NCIT_C16727
IDN,http://purl.obolibrary.org/obo/NCIT_C16728,NCIT,Indonesia,NCIT_C16728
IRL,http://purl.obolibrary.org/obo/NCIT_C16757,NCIT,Ireland,NCIT_C16757
ISR,http://purl.obolibrary.org/obo/NCIT_C16760,NCIT,Israel,NCIT_C16760
ITA,http://purl.obolibrary.org/obo/NCIT_C16761,NCIT,Italy,NCIT_C16761
JPN,http://purl.obolibrary.org/obo/NCIT_C16764,NCIT,Japan,NCIT_C16764
KAZ,http://purl.obolibrary.org/obo/NCIT_C20107,NCIT,Kazakhstan,NCIT_C20107
LBR,http://purl.obolibrary.org/obo/NCIT_C16791,NCIT,Liberia,NCIT_C16791
LUX,http://purl.obolibrary.org/obo/NCIT_C16803,NCIT,Luxembourg,NCIT_C16803
MDG,http://purl.obolibrary.org/obo/NCIT_C16808,NCIT,Madagascar,NCIT_C16808
MYS,http://purl.obolibrary.org/obo/NCIT_C16814,NCIT,Malaysia,NCIT_C16814
MNG,http://purl.obolibrary.org/obo/NCIT_C16875,NCIT,Mongolia,NCIT_C16875
NLD,http://purl.obolibrary.org/obo/NCIT_C16903,NCIT,Netherlands,NCIT_C16903
NOR,http://purl.obolibrary.org/obo/NCIT_C16920,NCIT,Norway,NCIT_C16920
PER,http://purl.obolibrary.org/obo/NCIT_C16972,NCIT,Peru,NCIT_C16972
PHL,http://purl.obolibrary.org/obo/NCIT_C16978,NCIT,Philippines,NCIT_C16978
RUS,http://purl.obolibrary.org/obo/NCIT_C17111,NCIT,Russian Federation,NCIT_C17111
SGP,http://purl.obolibrary.org/obo/NCIT_C17134,NCIT,Singapore,NCIT_C17134
SVK,http://purl.obolibrary.org/obo/NCIT_C17669,NCIT,Slovakia,NCIT_C17669
KOR,http://purl.obolibrary.org/obo/NCIT_C16774,NCIT,"Korea, Republic of",NCIT_C16774
ESP,http://purl.obolibrary.org/obo/NCIT_C17152,NCIT,Spain,NCIT_C17152
SWE,http://purl.obolibrary.org/obo/NCIT_C17180,NCIT,Sweden,NCIT_C17180
TZA,http://purl.obolibrary.org/obo/NCIT_C17185,NCIT,"Tanzania, United Republic of",NCIT_C17185
GBR,http://purl.obolibrary.org/obo/NCIT_C17233,NCIT,United Kingdom,NCIT_C17233
USA,http://purl.obolibrary.org/obo/NCIT_C17234,NCIT,United States,NCIT_C17234
